question_id,res
428,incorrect
429,incorrect
430,incorrect
431,incorrect
432,incorrect
433,incorrect
434,correct
435,incorrect
436,correct
437,incorrect
438,incorrect
439,correct
440,correct
441,incorrect
442,incorrect
443,incorrect
444,incorrect
445,incorrect
446,incorrect
447,incorrect
448,incorrect
449,correct
450,incorrect
451,incorrect
452,correct
453,incorrect
454,incorrect
455,correct
456,correct
457,correct
458,incorrect
459,correct
460,correct
461,correct
462,incorrect
463,incorrect
464,correct
465,incorrect
466,correct
467,correct
468,incorrect
469,incorrect
470,correct
471,correct
472,incorrect
473,incorrect
474,incorrect
475,correct
476,correct
477,correct
478,correct
479,correct
480,correct
481,correct
482,incorrect
483,incorrect
484,incorrect
485,correct
486,correct
487,incorrect
488,correct
489,correct
490,correct
491,correct
492,correct
493,correct
494,incorrect
495,correct
496,correct
497,correct
498,correct
499,incorrect
500,incorrect
501,correct
502,correct
503,correct
504,correct
505,correct
506,correct
507,correct
508,correct
509,correct
510,correct
511,incorrect
512,incorrect
513,correct
514,incorrect
515,incorrect
516,incorrect
517,correct
518,incorrect
519,incorrect
520,incorrect
521,incorrect
522,incorrect
523,incorrect
524,correct
525,incorrect
526,correct
527,correct
528,incorrect
529,incorrect
530,incorrect
531,incorrect
532,incorrect
533,incorrect
534,correct
535,correct
536,correct
537,correct
538,correct
539,correct
540,correct
541,correct
542,correct
543,correct
544,correct
545,correct
546,correct
547,correct
548,correct
549,correct
550,correct
551,correct
552,correct
553,correct
554,correct
555,correct
556,correct
557,incorrect
558,correct
559,correct
560,correct
561,correct
562,correct
563,correct
564,correct
565,incorrect
566,correct
567,correct
568,correct
569,correct
570,correct
571,incorrect
572,correct
573,correct
574,correct
575,correct
576,correct
577,correct
578,correct
579,correct
580,correct
581,incorrect
582,incorrect
583,correct
584,incorrect
585,correct
586,incorrect
587,incorrect
588,correct
589,incorrect
590,incorrect
591,correct
592,incorrect
593,incorrect
594,incorrect
595,incorrect
596,incorrect
597,incorrect
598,incorrect
599,incorrect
600,incorrect
601,correct
602,incorrect
603,incorrect
604,incorrect
605,correct
606,incorrect
607,correct
608,incorrect
609,correct
610,incorrect
611,correct
612,correct
613,correct
614,incorrect
615,correct
616,incorrect
617,incorrect
618,correct
619,correct
620,incorrect
621,correct
622,correct
623,correct
624,correct
625,incorrect
626,correct
627,correct
628,incorrect
629,correct
630,incorrect
631,incorrect
632,incorrect
633,correct
634,incorrect
635,incorrect
636,incorrect
637,incorrect
638,correct
639,incorrect
640,incorrect
641,incorrect
642,incorrect
643,correct
644,correct
645,correct
646,incorrect
647,correct
648,correct
649,incorrect
650,incorrect
651,correct
652,incorrect
653,correct
654,incorrect
655,correct
656,incorrect
657,correct
658,correct
659,correct
660,correct
661,correct
662,incorrect
663,incorrect
664,incorrect
665,correct
666,correct
667,incorrect
668,correct
669,correct
670,incorrect
671,correct
672,incorrect
673,correct
674,correct
675,correct
676,correct
677,incorrect
678,correct
679,incorrect
680,correct
681,incorrect
682,incorrect
683,incorrect
684,incorrect
685,incorrect
686,incorrect
687,incorrect
688,correct
689,incorrect
690,correct
691,correct
692,incorrect
693,incorrect
694,incorrect
695,correct
696,incorrect
697,correct
698,correct
699,correct
700,correct
701,incorrect
702,correct
703,correct
704,correct
705,correct
706,incorrect
707,correct
708,correct
709,incorrect
710,incorrect
711,incorrect
712,incorrect
713,correct
714,correct
715,correct
716,correct
717,incorrect
718,correct
719,correct
720,correct
721,correct
722,correct
723,correct
724,correct
725,correct
726,incorrect
727,correct
728,incorrect
729,correct
730,incorrect
731,correct
732,correct
733,correct
734,correct
735,correct
736,correct
737,correct
738,incorrect
739,correct
740,correct
741,correct
742,correct
743,incorrect
744,correct
745,correct
746,correct
747,correct
748,correct
749,incorrect
750,correct
751,incorrect
752,correct
753,incorrect
754,correct
755,correct
756,incorrect
757,correct
758,incorrect
759,correct
760,correct
761,incorrect
762,correct
763,incorrect
764,correct
765,incorrect
766,incorrect
767,incorrect
768,correct
769,incorrect
770,correct
771,correct
772,incorrect
773,correct
774,correct
775,incorrect
776,correct
777,correct
778,correct
779,correct
780,correct
781,incorrect
782,correct
783,correct
784,correct
785,correct
786,correct
787,correct
788,incorrect
789,correct
790,correct
791,incorrect
792,incorrect
793,incorrect
794,correct
795,correct
796,incorrect
797,correct
798,correct
799,incorrect
800,correct
801,correct
802,correct
803,incorrect
804,correct
805,incorrect
806,correct
807,correct
808,correct
809,correct
810,incorrect
811,correct
812,incorrect
813,correct
814,correct
815,correct
816,correct
817,incorrect
818,incorrect
819,correct
820,correct
821,incorrect
822,correct
823,correct
824,correct
825,correct
826,correct
827,correct
828,correct
829,correct
830,correct
831,correct
832,correct
833,correct
834,correct
835,correct
836,correct
837,incorrect
838,correct
839,correct
840,incorrect
841,correct
842,correct
843,correct
844,correct
845,correct
846,incorrect
847,correct
848,correct
849,correct
850,correct
851,incorrect
852,incorrect
853,correct
854,incorrect
855,incorrect
856,correct
857,incorrect
858,incorrect
859,correct
860,incorrect
861,incorrect
862,correct
863,correct
864,correct
865,correct
866,incorrect
867,correct
868,correct
869,correct
870,correct
871,incorrect
872,incorrect
873,correct
874,correct
875,correct
876,incorrect
877,correct
878,correct
879,correct
880,correct
881,correct
882,correct
883,incorrect
884,correct
885,correct
886,correct
887,correct
888,incorrect
889,incorrect
890,correct
891,incorrect
892,correct
893,incorrect
894,incorrect
895,incorrect
896,incorrect
897,incorrect
898,incorrect
899,incorrect
900,correct
901,correct
902,incorrect
903,incorrect
904,incorrect
905,incorrect
906,incorrect
907,incorrect
908,incorrect
909,incorrect
910,correct
911,incorrect
912,correct
913,correct
914,correct
915,incorrect
916,correct
917,correct
918,correct
919,correct
920,correct
921,incorrect
922,incorrect
923,correct
924,incorrect
925,correct
926,correct
927,correct
928,incorrect
929,correct
930,incorrect
931,correct
932,correct
933,incorrect
934,incorrect
935,correct
936,incorrect
937,incorrect
938,correct
939,correct
940,incorrect
941,correct
942,incorrect
943,correct
944,incorrect
945,incorrect
946,correct
947,correct
948,incorrect
949,correct
950,incorrect
951,correct
952,incorrect
953,correct
954,correct
955,incorrect
956,correct
957,incorrect
958,incorrect
959,incorrect
960,correct
961,correct
962,incorrect
963,incorrect
964,correct
965,correct
966,incorrect
967,incorrect
968,correct
969,incorrect
970,incorrect
971,correct
972,incorrect
973,incorrect
974,incorrect
975,incorrect
976,correct
977,correct
978,incorrect
979,incorrect
980,incorrect
981,correct
982,incorrect
983,incorrect
984,incorrect
985,incorrect
986,incorrect
987,correct
988,incorrect
989,incorrect
990,incorrect
991,correct
992,incorrect
993,incorrect
994,incorrect
995,incorrect
996,correct
997,correct
998,incorrect
999,incorrect
1000,incorrect
1001,correct
1002,correct
1003,correct
1004,incorrect
1005,incorrect
1006,incorrect
1007,correct
1008,correct
1009,incorrect
1010,incorrect
1011,incorrect
1012,incorrect
1013,incorrect
1014,incorrect
1015,incorrect
1016,incorrect
1017,incorrect
1018,correct
1019,correct
1020,correct
1021,incorrect
1022,incorrect
1023,correct
1024,incorrect
1025,correct
1026,incorrect
1027,incorrect
1028,correct
1029,incorrect
1030,correct
1031,incorrect
1032,incorrect
1033,incorrect
1034,correct
1035,correct
1036,incorrect
1037,incorrect
1038,correct
1039,correct
1040,incorrect
1041,incorrect
1042,correct
1043,correct
1044,correct
1045,correct
1046,correct
1047,correct
1048,correct
1049,correct
1050,correct
1051,correct
1052,incorrect
1053,correct
1054,correct
1055,correct
1056,correct
1057,correct
1058,incorrect
1059,correct
1060,correct
1061,correct
1062,correct
1063,correct
1064,incorrect
1065,correct
1066,correct
1067,correct
1068,incorrect
1069,correct
1070,correct
1071,correct
1072,correct
1073,correct
1074,correct
1075,correct
1076,correct
1077,correct
1078,correct
1079,correct
1080,correct
1081,correct
1082,correct
1083,correct
1084,incorrect
1085,incorrect
1086,correct
1087,correct
1088,incorrect
1089,correct
1090,correct
1091,correct
1092,incorrect
1093,incorrect
1094,incorrect
1095,correct
1096,correct
1097,correct
1098,correct
1099,correct
1100,correct
1101,correct
1102,incorrect
1103,correct
1104,correct
1105,correct
1106,correct
1107,incorrect
1108,incorrect
1109,correct
1110,incorrect
1111,correct
1112,correct
1113,incorrect
1114,correct
1115,incorrect
1116,incorrect
1117,correct
1118,incorrect
1119,incorrect
1120,incorrect
1121,incorrect
1122,correct
1123,correct
1124,correct
1125,correct
1126,incorrect
1127,incorrect
1128,incorrect
1129,correct
1130,correct
1131,incorrect
1132,correct
1133,correct
1134,incorrect
1135,incorrect
1136,correct
1137,incorrect
1138,correct
1139,incorrect
1140,correct
1141,correct
1142,incorrect
1143,incorrect
1144,incorrect
1145,incorrect
1146,correct
1147,correct
1148,incorrect
1149,incorrect
1150,correct
1151,correct
1152,correct
1153,correct
1154,correct
1155,correct
1156,incorrect
1157,correct
1158,correct
1159,correct
1160,incorrect
1161,correct
1162,incorrect
1163,correct
1164,correct
1165,correct
1166,incorrect
1167,correct
1168,incorrect
1169,correct
1170,incorrect
1171,incorrect
1172,incorrect
1173,correct
1174,incorrect
1175,incorrect
1176,correct
1177,incorrect
1178,incorrect
1179,incorrect
1180,correct
1181,correct
1182,correct
1183,correct
1184,correct
1185,incorrect
1186,incorrect
1187,correct
1188,correct
1189,correct
1190,incorrect
1191,correct
1192,correct
1193,incorrect
1194,correct
1195,correct
1196,incorrect
1197,correct
1198,correct
1199,incorrect
1200,incorrect
1201,correct
1202,incorrect
1203,incorrect
1204,incorrect
1205,incorrect
1206,correct
1207,correct
1208,correct
1209,correct
1210,correct
1211,incorrect
1212,correct
1213,incorrect
1214,correct
1215,incorrect
1216,incorrect
1217,incorrect
1218,incorrect
1219,incorrect
1220,correct
1221,correct
1222,correct
1223,correct
1224,incorrect
1225,incorrect
1226,incorrect
1227,correct
1228,correct
1229,incorrect
1230,correct
1231,correct
1232,incorrect
1233,incorrect
1234,incorrect
1235,incorrect
1236,incorrect
1237,correct
1238,correct
1239,incorrect
1240,correct
1241,incorrect
1242,incorrect
1243,incorrect
1244,correct
1245,incorrect
1246,incorrect
1247,incorrect
1248,incorrect
1249,correct
1250,incorrect
1251,incorrect
1252,incorrect
1253,correct
1254,incorrect
1255,correct
1256,incorrect
1257,incorrect
1258,correct
1259,incorrect
1260,incorrect
1261,correct
1262,correct
1263,correct
1264,incorrect
1265,incorrect
1266,correct
1267,incorrect
1268,incorrect
1269,incorrect
1270,incorrect
1271,incorrect
1272,incorrect
1273,incorrect
1274,incorrect
1275,incorrect
1276,correct
1277,correct
1278,incorrect
1279,incorrect
1280,incorrect
1281,correct
1282,correct
1283,incorrect
1284,incorrect
1285,correct
1286,incorrect
1287,incorrect
1288,correct
1289,incorrect
1290,incorrect
1291,incorrect
1292,incorrect
1293,correct
1294,correct
1295,correct
1296,incorrect
1297,incorrect
1298,incorrect
1299,incorrect
1300,incorrect
1301,correct
1302,incorrect
1303,correct
1304,incorrect
1305,incorrect
1306,incorrect
1307,correct
1308,incorrect
1309,incorrect
1310,correct
1311,correct
1312,correct
1313,correct
1314,incorrect
1315,correct
1316,correct
1317,incorrect
1318,incorrect
1319,correct
1320,correct
1321,incorrect
1322,incorrect
1323,correct
1324,correct
1325,correct
1326,correct
1327,correct
1328,correct
1329,correct
1330,correct
1331,correct
1332,correct
1333,correct
1334,correct
1335,correct
1336,correct
1337,correct
1338,incorrect
1339,correct
1340,correct
1341,correct
1342,incorrect
1343,correct
1344,correct
1345,correct
1346,correct
1347,correct
1348,correct
1349,correct
1350,incorrect
1351,correct
1352,incorrect
1353,correct
1354,correct
1355,correct
1356,correct
1357,correct
1358,correct
1359,correct
1360,incorrect
1361,correct
1362,incorrect
1363,correct
1364,correct
1365,correct
1366,incorrect
1367,correct
1368,correct
1369,correct
1370,incorrect
1371,incorrect
1372,correct
1373,correct
1374,incorrect
1375,correct
1376,correct
1377,correct
1378,incorrect
1379,correct
1380,correct
1381,correct
1382,correct
1383,correct
1384,correct
1385,correct
1386,incorrect
1387,incorrect
1388,incorrect
1389,incorrect
1390,incorrect
1391,incorrect
1392,correct
1393,correct
1394,correct
1395,correct
1396,correct
1397,correct
1398,correct
1399,incorrect
1400,correct
1401,incorrect
1402,correct
1403,correct
1404,incorrect
1405,correct
1406,correct
1407,incorrect
1408,correct
1409,correct
1410,correct
1411,correct
1412,correct
1413,correct
1414,correct
1415,correct
1416,correct
1417,correct
1418,incorrect
1419,correct
1420,correct
1421,incorrect
1422,incorrect
1423,correct
1424,correct
1425,correct
1426,correct
1427,incorrect
1428,incorrect
1429,correct
1430,correct
1431,incorrect
1432,correct
1433,incorrect
1434,correct
1435,correct
1436,incorrect
1437,incorrect
1438,correct
1439,correct
1440,correct
1441,incorrect
1442,correct
1443,correct
1444,correct
1445,correct
1446,correct
1447,correct
1448,incorrect
1449,correct
1450,incorrect
1451,incorrect
1452,correct
1453,incorrect
1454,incorrect
1455,correct
1456,correct
1457,correct
1458,incorrect
1459,correct
1460,correct
1461,correct
1462,correct
1463,correct
1464,correct
1465,correct
1466,correct
1467,incorrect
1468,incorrect
1469,correct
1470,correct
1471,correct
1472,incorrect
1473,correct
1474,correct
1475,incorrect
1476,correct
1477,incorrect
1478,incorrect
1479,incorrect
1480,incorrect
1481,incorrect
1482,incorrect
1483,correct
1484,incorrect
1485,correct
1486,incorrect
1487,incorrect
1488,incorrect
1489,correct
1490,correct
1491,incorrect
1492,incorrect
1493,correct
1494,incorrect
1495,correct
1496,incorrect
1497,correct
1498,incorrect
1499,incorrect
1500,incorrect
1501,incorrect
1502,incorrect
1503,incorrect
1504,correct
1505,incorrect
1506,correct
1507,correct
1508,correct
1509,correct
1510,incorrect
1511,incorrect
1512,correct
1513,correct
1514,correct
1515,correct
1516,incorrect
1517,incorrect
1518,correct
1519,correct
1520,incorrect
1521,correct
1522,correct
1523,correct
1524,incorrect
1525,correct
1526,incorrect
1527,incorrect
1528,incorrect
1529,incorrect
1530,incorrect
1531,incorrect
1532,correct
1533,incorrect
